,L1,YEAR,PR,D,F,DOLLARS,L2,OUTLET,UNITS
6220,1,2007,6,15,26,71.58,10,0,56
6221,2,2007,1,0,5,24.36,14,0,24
6222,0,2008,176,7,811,4602.01,4,0,1086
6223,1,2008,369,654,1163,4037.52,10,0,2849
6224,2,2008,37,1,179,828.68,14,0,324
6225,0,2009,178,20,721,4093.26,4,0,923
6226,1,2009,370,679,1101,4552.22,10,0,3265
6227,2,2009,45,0,157,714.74,14,0,245
6228,0,2010,220,38,847,4657.23,4,0,1175
6229,1,2010,434,822,1236,4902.15,10,0,3790
6230,2,2010,31,7,125,552.44,14,0,195
6231,0,2011,174,3,771,4235.33,4,0,913
6232,1,2011,457,793,1221,4578.59,10,0,3838
6233,2,2011,32,0,138,452.52,14,0,134
6234,0,2007,2,0,10,84.45,4,0,29
6235,1,2007,5,13,24,70.86,11,0,51
6236,2,2007,1,0,2,14.61,14,0,3
6237,0,2008,50,17,233,2497.78,4,0,447
6238,1,2008,197,231,855,3271.48,10,0,1788
6239,2,2008,2,0,23,90.65,14,0,24
6240,0,2009,17,0,33,356.87,4,0,67
6241,1,2009,38,41,115,574.59,12,0,306
6242,2,2009,0,0,8,26.37,14,0,9
6243,0,2007,3,1,10,85.61,4,0,20
6244,1,2007,5,4,28,111.72,10,0,92
6245,2,2007,0,0,1,16.58,14,0,2
6246,0,2008,90,5,508,3712.36,4,0,801
6247,1,2008,202,326,1543,7352.67,10,0,4671
6248,2,2008,7,0,57,343.07,14,0,84
6249,0,2009,141,24,640,4118.03,4,0,944
6250,1,2009,296,428,1791,8747.08,10,0,4844
6251,2,2009,7,0,62,361.05,14,0,82
6252,0,2010,251,29,984,7081.74,4,0,1710
6253,1,2010,401,600,2191,9916.47,10,0,5745
6254,2,2010,23,0,120,565.47,14,0,146
6255,0,2011,283,3,1073,8923.02,4,0,1934
6256,1,2011,471,625,2079,8092.51,10,0,4494
6257,2,2011,20,0,109,618.44,14,0,148
6258,0,2007,4,0,19,113.3,4,0,21
6259,1,2007,20,16,59,192.93,10,0,134
6260,2,2007,2,0,10,73.5,14,0,32
6261,0,2008,192,2,994,6359.55,4,0,1303
6262,1,2008,397,712,1569,6825.71,10,0,4185
6263,2,2008,44,0,207,1165.07,14,0,421
6264,0,2007,3,0,17,225.76,4,0,45
6265,1,2007,8,10,32,329.35,10,0,279
6266,2,2007,0,0,3,44.73,14,0,7
6267,0,2008,133,8,808,8367.02,4,0,1602
6268,1,2008,259,595,1569,10955.21,10,0,7141
6269,2,2008,10,1,128,1733.53,14,0,361
6270,0,2009,191,77,947,11261.07,4,0,2328
6271,1,2009,350,618,1726,11385.07,10,0,6947
6272,2,2009,17,4,118,1685.71,14,0,312
6273,0,2010,343,83,1383,14838.09,4,0,3557
6274,1,2010,475,845,2156,12964.12,10,0,8346
6275,2,2010,36,5,197,1834.26,14,0,388
6276,0,2011,399,64,1496,18467.18,4,0,3630
6277,1,2011,475,676,2256,13381.73,10,0,7912
6278,2,2011,34,0,181,1558.24,14,0,288
6279,0,2007,4,2,17,184.53,4,0,46
6280,1,2007,10,3,41,277.24,0,0,200
6281,2,2007,0,0,3,26.16,14,0,4
6282,0,2008,132,27,694,6988.74,4,0,1457
6283,1,2008,158,106,1949,11203.55,10,0,7237
6284,2,2008,8,1,93,943.95,14,0,199
6285,0,2009,187,45,939,11535.94,4,0,2312
6286,1,2009,220,73,1753,9221.37,10,0,5400
6287,2,2009,14,2,98,837.63,14,0,164
6288,0,2010,332,123,1280,15192.0,4,0,3351
6289,1,2010,322,150,2171,9059.11,10,0,6829
6290,2,2010,22,6,120,890.7,14,0,248
6291,0,2011,345,50,1259,16663.83,4,0,3449
6292,1,2011,315,185,2121,8970.48,10,0,5178
6293,2,2011,18,2,112,801.51,14,0,161
6294,0,2007,4,2,17,174.54,4,0,36
6295,1,2007,12,19,38,222.05,10,0,163
6296,2,2007,0,0,2,27.93,14,0,7
6297,0,2008,113,19,719,6048.38,4,0,1099
6298,1,2008,192,711,1459,11574.52,10,0,8588
6299,2,2008,9,0,114,1397.45,14,0,293
6300,0,2009,177,27,847,6955.63,4,0,1362
6301,1,2009,236,485,1845,11987.35,10,0,8194
6302,2,2009,16,3,116,1199.02,14,0,231
6303,0,2010,261,0,1159,8282.54,4,0,1742
6304,1,2010,347,562,2191,12090.05,10,0,8180
6305,2,2010,21,0,131,991.85,14,0,194
6306,0,2011,316,27,1298,11436.53,4,0,2099
6307,1,2011,508,717,2583,13698.76,10,0,8895
6308,2,2011,39,4,183,1433.26,14,0,260
6309,0,2007,3,0,18,177.04,4,0,34
